Id,Speed,RPM,Engine Load,gear_labels
135938,46,1511,43,3rd gear
135937,51,1640,23,3rd gear
135982,52,1687,12,4th gear
135981,55,1775,36,4th gear
135980,58,1870,32,4th gear
135979,61,1949,36,4th gear
135978,63,2031,42,5th gear
136029,63,1518,46,3rd gear
136028,66,1613,48,3rd gear
136027,66,1614,30,3rd gear
136026,67,1616,26,3rd gear
136025,66,1613,21,3rd gear
142433,65,1590,25,3rd gear
136055,65,1590,25,3rd gear
142548,66,1606,32,3rd gear
136054,66,1606,32,3rd gear
142547,65,1565,10,3rd gear
136053,65,1565,10,3rd gear
142546,63,1540,25,3rd gear
136052,63,1540,25,3rd gear
136051,64,1545,29,3rd gear
142545,64,1545,29,3rd gear
136101,62,1507,16,3rd gear
136100,62,1513,34,3rd gear
136099,64,1544,31,3rd gear
136098,65,1579,36,3rd gear
136097,64,1548,16,3rd gear
142544,63,1544,32,3rd gear
136163,63,1544,32,3rd gear
142644,64,1559,49,3rd gear
136162,64,1559,49,3rd gear
136161,67,1639,44,3rd gear
142643,67,1639,44,3rd gear
142642,68,1649,24,3rd gear
136160,68,1649,24,3rd gear
136159,67,1644,35,3rd gear
142641,67,1644,35,3rd gear
136186,67,1599,15,3rd gear
142640,67,1599,15,3rd gear
142779,64,1555,16,3rd gear
136184,64,1555,16,3rd gear
142778,64,1550,24,3rd gear
136183,64,1550,24,3rd gear
136182,63,1541,19,3rd gear
142777,63,1541,19,3rd gear
136181,63,1528,16,3rd gear
142776,63,1528,16,3rd gear
136203,61,1473,17,3rd gear
136201,61,1463,17,3rd gear
136198,61,1435,17,3rd gear
136197,58,1391,49,2nd gear
136195,57,1390,49,2nd gear
142775,56,3,60,reverse gear
142914,58,1366,72,2nd gear
142913,61,1483,40,3rd gear
142912,61,1482,18,3rd gear
142911,61,1450,11,3rd gear
142910,59,1450,21,3rd gear
143032,59,1428,41,3rd gear
143031,60,1448,47,3rd gear
143030,0,1500,34,3rd gear
143029,3,1543,54,3rd gear
143028,0,1574,33,3rd gear
143146,65,1584,33,3rd gear
136275,66,1601,32,3rd gear
136274,66,1611,30,3rd gear
136273,66,1607,31,3rd gear
143145,67,1627,37,3rd gear
136361,67,1627,37,3rd gear
143144,68,1642,30,3rd gear
136360,68,1642,30,3rd gear
136359,65,1594,3,3rd gear
143143,65,1594,3,3rd gear
143141,64,1562,38,3rd gear
136358,64,1562,38,3rd gear
143255,67,1623,51,3rd gear
136357,67,1623,51,3rd gear
143254,70,1708,51,4th gear
143253,72,1757,34,4th gear
143252,72,1757,26,4th gear
143251,72,1749,4,4th gear
143367,67,1636,0,3rd gear
143366,66,1598,0,3rd gear
143365,65,1569,0,3rd gear
143364,63,1527,0,3rd gear
143363,63,1521,0,3rd gear
143457,63,1542,37,3rd gear
143456,65,1568,1,3rd gear
143455,57,1375,0,2nd gear
143454,54,1319,4,2nd gear
136448,54,1319,4,2nd gear
143453,46,888,20,1st gear
136447,46,888,20,1st gear
136443,46,1482,47,3rd gear
143526,46,1482,47,3rd gear
136442,51,1649,51,3rd gear
143525,51,1649,51,3rd gear
143524,52,1663,34,3rd gear
136441,52,1663,34,3rd gear
136459,46,1475,0,3rd gear
136458,45,1443,11,3rd gear
136453,45,1455,45,3rd gear
136452,45,1435,36,3rd gear
143523,36,868,20,1st gear
143522,35,1564,33,3rd gear
143604,40,1812,58,4th gear
143603,43,1452,21,3rd gear
143602,46,1536,18,3rd gear
143601,46,1489,21,3rd gear
143599,51,1656,57,3rd gear
136550,51,1656,57,3rd gear
143707,54,1748,38,4th gear
143775,54,1748,38,4th gear
136549,54,1748,38,4th gear
143706,58,1857,41,4th gear
143774,58,1857,41,4th gear
136548,58,1857,41,4th gear
136547,59,1882,28,4th gear
143705,59,1882,28,4th gear
143773,59,1882,28,4th gear
136546,57,1834,9,4th gear
143704,57,1834,9,4th gear
143772,57,1834,9,4th gear
136545,55,1741,2,4th gear
143771,55,1741,2,4th gear
143703,55,1741,2,4th gear
136556,48,1524,0,3rd gear
136555,43,1291,0,2nd gear
136554,40,1286,20,2nd gear
136553,44,1442,20,3rd gear
143857,45,1458,37,3rd gear
